"C2.1"	"C2.10"	"C2.11"	"C2.12"	"C2.13"	"C2.14"	"C2.15"	"C2.16"	"C2.17"	"C2.18"	"C2.19"	"C2.2"	"C2.20"	"C2.21"	"C2.22"	"C2.23"	"C2.24"	"C2.25"	"C2.26"	"C2.27"	"C2.28"	"C2.29"	"C2.3"	"C2.30"	"C2.31"	"C2.32"	"C2.33"	"C2.34"	"C2.35"	"C2.36"	"C2.37"	"C2.38"	"C2.39"	"C2.4"	"C2.40"	"C2.41"	"C2.42"	"C2.43"	"C2.44"	"C2.45"	"C2.46"	"C2.47"	"C2.48"	"C2.49"	"C2.5"	"C2.50"	"C2.51"	"C2.52"	"C2.6"	"C2.7"	"C2.8"	"C2.9"
"LH 2"	1.14439692160034	0.00509681079107928	0.00306824638932284	0.00418537267667437	0.00467262855061972	0.00774863033021472	0.00660196198447875	0.00358733903870521	0.00759389150779969	0.00996967291219685	0.0131897565311854	0.879442952976941	0.0107776044619937	0.00790978011568513	0.00400399758810304	0.00414554277631499	0.0397626129241835	0.0171050415441499	0.00515776213905901	0.0475754170662066	0.0171456447692028	0.00609467334000072	0.682691355509273	0.00442555772703178	0.00396945970815833	0.00709238153154857	0.00968660726203253	0.0142008965655157	0.0137606900750349	0.0050695738341607	0.0208917223262152	0.0174585139422605	0.0055124356372414	0.0269916870133896	0.0103908705514004	0.00422149312283815	0.00509383298478159	0.01075148950997	0.0059732609147184	0.007150188519319	0.0374306472542399	0.00665309587646494	0.178472834371385	0.0917277615734871	0.248405304040436	0.0134380269621425	0.00966509220851202	0.0194773145885353	0.0183918400173766	0.926760122324781	0.331093099417477	0.00370167478699626
"LH 3"	0.316660712444544	0.00419803888918754	0.00399374900568645	0.00176970067513196	0.00348789233707702	0.0035497579479402	0.00297337769227716	0.00181596913588552	0.00183561430566559	0.00205386386308747	0.00379132427867567	0.213965398632552	0.00445518349259246	0.00268809784088909	0.00150450835816935	0.00181236724563787	0.0222608403059287	0.00483741675902169	0.00162960446814173	0.0114456203460824	0.00977924557404421	0.00222545255619745	0.97099640315555	0.00187802442717687	0.00187947549891296	0.00373862504044702	0.00454420098088027	0.00354696134900989	0.00577088438977567	0.00269753310401853	0.00887981892269507	0.0104287238446896	0.00270687808561701	0.0415937922539197	0.00342219712135532	0.00168069926948086	0.00201219658549338	0.0301725324721849	0.0029549691968372	0.0148115528913567	0.0137239740925635	0.00302647723463437	1.16421874256291	0.245299640268159	0.207345005603757	0.0655261688283395	0.0114952606639224	0.0465630740691686	0.0291262223684536	2.20752191391761	0.737932074965905	0.0112760360585667
"LH 4"	0.983070228367976	0.0126815595339967	0.0044921532528666	0.0104349980808731	0.00807922771871012	0.0139778089022828	0.015366464206359	0.00739404251820933	0.00403094843288471	0.00995593007839585	0.0474806318340861	0.571729365610323	0.0091147912659931	0.00819883961576951	0.00326421595631376	0.00379724762946756	0.0843316627387908	0.0416478125692814	0.0161826021083416	0.19682235913859	0.0511269308827299	0.00926187690975802	0.44864739757193	0.00868282561229648	0.00432587832814738	0.0104135177479897	0.0383919600020134	0.102476420852436	0.0297658421407741	0.0041936491066407	0.00940888570588175	0.00579392385443299	0.00270144632101537	0.0128175866048769	0.0115256682127604	0.00448276973178897	0.00378117258703592	0.00345308476693692	0.00323921249766989	0.0046993998437562	0.13499734467461	0.0128075306753352	0.25627928795187	0.138067853250639	0.371078465511675	0.0200724705855594	0.00842444205954164	0.0266077144272116	0.0305080192321424	2.18278154117241	0.941523242253852	0.0195492852323566
"LH/LPOA"	1.79094426554253	0.0266509222975274	0.014054858555918	0.0348564008066882	0.0146054582826513	0.0233488823821399	0.026773053713984	0.0154848290419471	0.00932683322118372	0.0329219244505408	0.109218954484609	1.10459090720751	0.0444323504483398	0.0157481974985331	0.0125237473194131	0.00861856132389076	0.114093680142715	0.107335770540328	0.218491748370948	0.357786118511421	0.0596497651603486	0.028590767942215	0.207271440142172	0.0247556660569728	0.0159791891487167	0.0206584988391449	0.0794163592088327	0.165689613996882	0.0997135759312634	0.0127622227385641	0.0213181037667717	0.0101016203916966	0.00964570197979735	0.00748983098193326	0.0452837869419798	0.0107079059969607	0.0110063028517325	0.0106027078603021	0.00677568166150554	0.00646239433494764	0.146352231136815	0.0296218186745239	0.169835591663265	0.0955622571324265	0.475926150180944	0.0181222716913289	0.00921266273355938	0.024998527323971	0.0288182174862383	1.21780796250953	0.627719329192591	0.015217993243638
"LPOA"	1.23500982481538	0.00125948308758642	0.001001292719063	0.00379103830393831	0.00284080975861576	0.00396019846493348	0.00630921960243184	0.00183640884125137	0.000915721739432293	0.001623244826879	0.00365430696678481	0.509865199756534	0.0106792653503364	0.00120363457002352	0.000727047889475695	0.000712871131576759	0.185977913797125	0.0184486589757081	0.00611251465655345	2.28391583952689	2.03539885515996	0.00187414317680081	0.369248434167241	0.00115014328264266	0.000857547571967154	0.000391749201961399	0.00451275282150421	0.0144974627180411	0.00329063506275148	0.000707421544293953	0.000881751008857206	0.00379213761647495	0.000906061944125813	0.00519207632991673	0.00115936923547087	0.00054444859255279	0.00146803968977718	0.000893032952682191	0.00159747027354932	0.000397191833596378	0.300832044628825	0.00231081300050516	0.161562020878604	0.0752198715075007	0.152573229948153	0.00958468355444263	0.00460102065615396	0.0126462633833085	0.0169188291742012	1.37614846337448	0.913379592387802	0.00154486220325843
"LTN"	2.03790949569579	0.542436432442174	0.879601958742801	0.0122190537168193	0.0969314019922454	0.0614111313372826	0.177797618670061	0.416423034595509	0.00424096875264714	0.00282663238245758	0.00671607925682665	0.721860999275818	0.012649184519311	0.00513175568516515	0.0620629454067683	0.00130308132931261	0.00777008969925713	0.0527666716710406	0.00149686622267798	0.028522553032871	0.0080835635525797	0.00950417434921827	0.201298345145249	0.0026352290717391	0.00140368499676516	0.00138284938481987	0.00108966567628184	0.00754417186753088	0.00251912864157556	0.000815141668653726	0.00271524439126273	0.00322081904456444	0.0023989223135125	0.0117748795880501	0.0380380347548795	4.41367630437322	0.00449879742993276	0.00285652553676261	0.0029460585471091	0.0150188935822126	0.0214505586374089	0.00140205761488636	0.293928098775705	0.38338017063364	0.24383945273787	0.0556711979538156	0.00498794123509953	0.0104492946783847	0.0115934855021257	0.0801568391269313	0.0539407817534109	0.680305496399606
"MAM"	2.17087947269281	0.0600009582703933	0.0492089455244908	0.0110656858561561	0.0047123367691529	0.0116250383753019	0.0510127034899779	0.0140378253844877	0.056188580665427	0.00913307219704924	0.0214842402469367	0.950294483502706	0.316803192775697	0.016847046657155	0.0359391447591285	0.00797247048777839	0.00243501247556803	0.0277858424357449	0.00782750435910809	0.0126019480886559	0.00333827205749306	0.0224853692855686	0.0211933122369616	0.0189920206492146	0.00991335274884477	3.17329570968946	0.0166519094376902	0.0127691057739624	0.0101254658676529	0.0169709749519825	0.000425694956999602	0.0526520037313458	0.429896255216251	0.00568626235278013	0.0253623196405048	0.00634753078067054	0.0802259305608459	0.0112358742483775	0.850225456270079	0.0783474199803216	0.00219768875850908	0.00816276040937131	0.139294199375436	0.0168579207395669	0.190077582979575	0.0558130981266731	0.00311569825843132	0.0111652694207927	0.00666971439835227	0.000397128670180488	0.00134490625297379	0.00363859922266177
"ME"	0.0688851629749293	0.000388774817777403	7.6291384861986e-05	4.2642935056353e-05	0.000338350108553067	0.000111509869336779	2.62711473750975e-05	5.20620710258252e-05	0.00398173533874236	9.9654750264355e-05	4.97566955151826e-05	0.0267980339515849	8.52360004180814e-05	0.0015298766389006	0.00255214647267406	0.000628999518560952	0.000127246033572387	9.33157141906059e-05	6.39154975375984e-05	2.7837829861665e-05	7.45405773983296e-05	6.13897725734845e-05	0.0427197828232793	8.11192134263021e-05	0.000176057352776421	0.0037368971621398	0.000582346534790787	0.000294533302263717	9.75266668888343e-05	9.23481239911471e-05	0.00583748789628366	0.0227506107530826	0.00014290919383017	0.75500124224896	6.24817572917286e-05	0.00251713640221183	0.0218433782469681	0.00265843578709035	0.0719548086967199	0.00131465539379557	9.42169597228379e-05	0.000109607144851471	1.24657561783966	0.351866306096119	0.0202608263699477	0.497630610233423	0.00717498895161548	0.523084921380843	0.00471793019156869	0.0356010873351973	0.0124783183438726	0.000296777450605827
"MedHy 1"	0.909176252676849	0.0188349323895589	0.0159789933563505	0.0302734278671594	0.0127735115478317	0.0167265552318871	0.0167585529340915	0.0242853647879841	0.217224271432142	0.169289389856918	0.151856535232723	0.703547383259787	0.168873742571956	0.0403412013093177	0.0374847688015434	0.101999509483077	0.0699032318858648	0.0283344144851411	0.0906127588303758	0.102806554059043	0.0319986714313306	0.0711859683120379	0.498033799755288	0.0145930610287414	0.0306955433528503	0.0958876488939677	0.0334827538916823	0.0747630202890548	0.130717352667623	0.039163751227047	0.0684794995656106	0.0754582178066857	0.211220840789916	0.0360110353406834	0.0997747369288364	0.04226089396711	0.105236856823947	0.0450961000275228	0.0439867072302021	0.0800359101859953	0.0554631666675202	0.0151890320450114	0.277105369371969	0.158288479223963	0.24446182249893	0.0441282939448812	0.00825397691033477	0.0295572717712775	0.0152874764723615	0.47625535120143	0.179897574491555	0.0103317371333146
"MedHy 2"	2.37755924723278	0.0324373682444757	0.0169886701542656	0.0411503395419073	0.0123341904508719	0.0252771619114849	0.0265674850136524	0.0240758201119691	0.0458248831080824	0.114104096254832	0.179925834914153	1.77127071763059	0.146079421150705	0.0671129554512497	0.0713574637180728	0.0536244106656199	0.0562216860240303	0.0616188622890255	0.124135521885436	0.0815707610016348	0.0276780358280031	0.0527144289660665	0.148268184307669	0.0210741979370271	0.0567387582537906	0.060883702077454	0.0393088587918239	0.0508378730929208	0.119163467979159	0.0653380033549621	0.0349419084543596	0.0463736229880473	0.120259628017003	0.0166315269837995	0.500759229983074	0.0550276529947942	0.0712007116679214	0.0712358022352266	0.0711166039100754	0.0657383741722864	0.0496960287730224	0.0361380946233302	0.199093058927979	0.0910757019149175	0.477177720878054	0.0263142885895362	0.00939054155688346	0.0271346197887091	0.0214028573292112	0.246821282472013	0.130066154098618	0.0121789628719528
"MedHy 3"	1.60753360296003	0.0300625010823198	0.0248444687495514	0.064721694105741	0.0186759729396852	0.0281738419251373	0.030030200241251	0.0337078047298218	0.0757700588740029	0.175573996943455	0.278754846028167	1.13085861374765	0.212685635044158	0.0752078564176286	0.115402836893177	0.145523231696197	0.0839338363683501	0.0673329686699608	0.270643991910837	0.171438116060462	0.0293099660981629	0.0879811052197248	0.114111038496884	0.032839800040855	0.0810295653071635	0.098894253843465	0.0756927818869718	0.0986734524742276	0.239637232397624	0.0651276068543049	0.0292685263397551	0.030126025276132	0.225524902809764	0.00880898423400997	0.34531055686506	0.0648435653421809	0.109870524262869	0.0571373540435522	0.0665871991054104	0.121956261212927	0.0931305193474376	0.0344930808256634	0.171649559545731	0.0826805523187884	0.424693566970329	0.0245679609722507	0.00761421693925301	0.0262386850067773	0.0196501480836537	0.352246348047095	0.180849844144952	0.0154244282053979
