"C2.1"	"C2.10"	"C2.11"	"C2.12"	"C2.13"	"C2.14"	"C2.15"	"C2.16"	"C2.17"	"C2.18"	"C2.19"	"C2.2"	"C2.20"	"C2.21"	"C2.22"	"C2.23"	"C2.24"	"C2.25"	"C2.26"	"C2.27"	"C2.28"	"C2.29"	"C2.3"	"C2.30"	"C2.31"	"C2.32"	"C2.33"	"C2.34"	"C2.35"	"C2.36"	"C2.37"	"C2.38"	"C2.39"	"C2.4"	"C2.40"	"C2.41"	"C2.42"	"C2.43"	"C2.44"	"C2.45"	"C2.46"	"C2.47"	"C2.48"	"C2.49"	"C2.5"	"C2.50"	"C2.51"	"C2.52"	"C2.6"	"C2.7"	"C2.8"	"C2.9"
"LH 3"	0.262730715423822	0.00099089781724615	0.000661051704082638	0.000517841849068645	0.000661795560154133	0.00143762657244224	0.000569552705565002	0.000650082385982387	0.000423769870394608	0.000581263699859846	0.000717675387568306	0.178637485206127	0.00056484690430807	0.000372221334691858	0.00033313010862912	0.000410302755335579	0.000932683917926624	0.00108338527206797	0.000587218382861465	0.000876848776533734	0.000608361185004469	0.000606573116965592	0.852371351420879	0.000557105704501737	0.000674656710179988	0.000465856083610561	0.000744766986463219	0.000614044770190958	0.000516395849990658	0.000466769719787408	0.0002851935387298	0.00050342937320238	0.000460277863021474	0.0189715781249106	0.000557117650168948	0.000452809406851884	0.00052408683259273	0.000502675208554137	0.000483765135868452	0.000542436873365659	0.00149847595312167	0.000753279583295807	0.925662940740585	0.14698644913733	0.139837777614594	0.0236005942337215	0.00568014457821846	0.0329855971969664	0.0135966593632475	2.06932396888733	0.657882283627987	0.000798689627845306
"LH 4"	0.955101531744003	0.00299471183679998	0.00144068843219429	0.00160734633100219	0.00163481953204609	0.00362265580333769	0.00254101625178009	0.00145099036162719	0.000897941604489461	0.00174449608311988	0.0038427289808169	0.528789716959	0.0021011118311435	0.00102355707786046	0.000680005189497024	0.000952190975658596	0.0261567098088562	0.00805920795537531	0.00195134760579094	0.0400872455909848	0.0026872982038185	0.00201734979636967	0.398681151866913	0.00205738639924675	0.00188943125540391	0.000910249588196166	0.00461480705998838	0.00417062409687787	0.00182007182738744	0.00112432182650082	0.000177092137164436	0.000440025227726437	0.00110112411202863	0.00646980865858495	0.0013956930313725	0.000799049195484258	0.00124706235365011	0.000523291606805287	0.000963147566653788	0.000516332848928869	0.106658824160695	0.00270731322234496	0.161743161082268	0.084348014369607	0.297828118503094	0.00757551011629403	0.00403583145234734	0.0193558271043003	0.0141371515579522	2.04268592596054	0.806026187539101	0.00265888165449724
"LH/LPOA"	1.76507084667683	0.00792826956603676	0.00469785591121763	0.00673970862990245	0.00432693756883964	0.0101736422395334	0.00730884819058701	0.00481878196587786	0.00399807415669784	0.00785248642787337	0.0227869031019509	1.06483456194401	0.0103864052100107	0.00543001930927858	0.00333606568165123	0.00357650627847761	0.0621102664619684	0.047923727799207	0.0145545474952087	0.154521567001939	0.0076355809927918	0.00928617655299604	0.186554711312056	0.00513501572422683	0.00659340805141255	0.00341772845713422	0.0134673308813944	0.0142494573490694	0.00797081758501008	0.00433507889974862	0.00046992603893159	0.00176515037019271	0.00452703314367682	0.00466070936527103	0.00598400097806007	0.00288792289211415	0.00534210612531751	0.00273547576507553	0.00334795385715552	0.00147407157637645	0.102495495788753	0.00775701428065076	0.096414784155786	0.0498311986215413	0.402281265705824	0.00810718846041709	0.00515030410606414	0.0193970448803157	0.0137327841250226	1.18107962310314	0.565980823338032	0.00471982031594962
"LPOA"	1.18441108763218	0.000417995838506613	0.000320034031756222	0.000356061280763242	0.000334845406905515	0.00101786835002713	0.000430460562347434	0.000280850472336169	0.000294292946637142	0.000492195709375665	0.000941644578415435	0.435738726705313	0.000699141026416328	0.000286287516792072	0.000197489500715164	0.000235038888058625	0.12561234459281	0.00174243023793679	0.000448308463091962	1.92634513676167	1.32463837563992	0.000437294985749759	0.298483168333769	0.000351144883461529	0.000359540357749211	0.000141473061012221	0.000575621557072736	0.000612471786735114	0.00032366769737564	0.000279700660757953	4.2702511382231e-05	0.00021085993394081	0.000313236747024348	0.00277913378085941	0.000335567020374583	0.000191198699758388	0.000376722513465211	0.00023082062289177	0.000374553311849013	0.000193417875561863	0.198924028500915	0.00081070099840872	0.0830124219879508	0.0340938056819141	0.103672714531422	0.00358182851341553	0.00211652728612535	0.00984747798647732	0.00634010650683194	1.33632642626762	0.809373804926872	0.000284012310294202
"LTN"	1.92029272317886	0.126322666555643	0.678528170287609	0.00198938003741205	0.00803149009589106	0.00804783154744655	0.0432848995551467	0.0968200631439686	0.00120667549781501	0.0009223542525433	0.00218500872142613	0.637864238023758	0.00220633501885459	0.000982861292141024	0.00077831191738369	0.000417186128470348	0.0010429386224132	0.00398976106662303	0.000710636709118262	0.00291223797830753	0.000671720391255803	0.00164282237528823	0.0873216953128576	0.000389944591734093	0.000643354230851401	0.000259676830319222	0.000357180530409096	0.00114419363089837	0.000607107699033804	0.000412732979748398	5.40848791388271e-05	0.000681447440001648	0.000963288097409531	0.00342477494850755	0.00134070734493434	4.23189747333527	0.00147047624632251	0.000411905289365677	0.000821267705759965	0.000280043347447645	0.00124429587449413	0.000605224703031126	0.120903974212706	0.263476142287254	0.161716057732701	0.0194556510075927	0.00185471553122625	0.00685815522447228	0.00268818387994543	0.0110466066515073	0.0094787594396621	0.501822684705257
"MAM"	2.05385932326317	0.0217029712162912	0.0141226276988164	0.00794501734199002	0.00196009147912264	0.00923536135815084	0.020887507032603	0.0123731989879161	0.0336857221089304	0.00776415047002956	0.0145375523716211	0.925213812291622	0.24371145889163	0.0136567815206945	0.00739025658695027	0.0060614324407652	0.00217261063517071	0.0180374331306666	0.00629906015237793	0.00861738824751228	0.00203727133921348	0.0211642367299646	0.011564957886003	0.0080162881873548	0.00796994369011372	3.06101885437965	0.00276214084005915	0.0092604496050626	0.00775536505971104	0.00963534882757813	0.000346426590840565	0.0172905893530697	0.332174536585808	0.0031516206858214	0.0181096513289958	0.00377367018372752	0.0387981501407921	0.00363552309572697	0.767800438404083	0.00393768073990941	0.0014625697338488	0.00549086086684838	0.0362394499592483	0.00695645440137014	0.163870207592845	0.00615983721800148	0.00247181233135052	0.00927720332983881	0.00183350728766527	0.000290453118213918	0.00113083841570187	0.00287945799645968
"ME"	0.0159292587079108	2.32599165428837e-05	1.47945762364543e-05	1.13796279947564e-05	1.6488445635332e-05	3.02407448543818e-05	4.61759914287541e-06	1.14267814296909e-05	2.43058857449796e-05	2.24886008254543e-05	1.54422757987049e-05	0.0116550219245255	1.36310397465422e-05	1.81094861545716e-05	1.80488784280897e-05	3.15248826154857e-05	2.78183714726765e-05	3.36226117724436e-05	2.08166580705438e-05	1.02546932794212e-05	9.54524571170623e-06	1.4907941022102e-05	0.00790074239484966	3.85527173420996e-05	7.83110313932411e-05	9.67644969932735e-05	8.8024681826937e-05	1.34853742110863e-05	1.58583417942282e-05	3.094283365499e-05	0.000450156829901971	6.37061348243151e-05	2.08581472179503e-05	0.758564925193787	1.19803809866426e-05	1.84403918865428e-05	8.36612056446029e-05	3.39636440912727e-05	0.000109131170756882	3.89993037970271e-05	2.57974235864822e-05	3.39145881298464e-05	0.916186651587486	0.325516307353973	0.00565021592192352	0.435635527968407	0.000376555087859742	0.496894294023514	0.000548558006994426	0.000540139072109014	0.000233393426606199	1.85380699804227e-05
"MedHy 1"	0.874251025915146	0.0060096641886048	0.00468047115718946	0.00664488315815106	0.00359908525715582	0.00780691474210471	0.00449643994215876	0.00617755684070289	0.0112937115132809	0.0134212490869686	0.012967140856199	0.667159005999565	0.0217789152637124	0.0097944047767669	0.00493325581774116	0.00801031349692494	0.00743187407497317	0.0102138881804422	0.010911131859757	0.00814603632315993	0.00397534974617884	0.0111207305919379	0.351282984018326	0.00430759503506124	0.00703100935788825	0.00892830637749285	0.00527371487114578	0.00811435671057552	0.0105893458472565	0.00580376577563584	0.00265841858345084	0.0072972803725861	0.0132601102348417	0.0129240313079208	0.0126929186983034	0.00642378404736519	0.0100929295876995	0.00445849733659998	0.00687224501743913	0.00459214558359236	0.00527464870829135	0.00556816227035597	0.150533672422171	0.073523766733706	0.183187928795815	0.0158594977343455	0.00441224523819983	0.0216417940333486	0.00688577040564269	0.261638367921114	0.0848705247044563	0.00369629024062306
"MedHy 2"	2.33473962545395	0.0136003425111994	0.0086065846728161	0.0110142319463193	0.00512234702473506	0.0138361426303163	0.0101660054875538	0.0107175850775093	0.0146819214802235	0.0185129161924124	0.0343731344677508	1.70676077902317	0.0430351307615638	0.0178955970797688	0.00908370099496096	0.010169097292237	0.0161952264606953	0.0263384377583861	0.0168366559781134	0.0201204361394048	0.00698166756192222	0.0201033025514334	0.081340879201889	0.00741278638597578	0.0136144138639793	0.00933809916023165	0.00992749999277294	0.0150947896996513	0.014929492212832	0.0103812352987006	0.000707795172638726	0.0059493730426766	0.0212623902596533	0.00690625093411654	0.0402774504385889	0.00879693159367889	0.0179250696208328	0.00819226547610015	0.0142069614958018	0.00468165801139548	0.0103898530127481	0.0123241637134925	0.101485555805266	0.0401681445538998	0.40070071965456	0.0116684743436053	0.005360226216726	0.0205342732835561	0.0102376852650195	0.15584050565958	0.0691941801458597	0.00590931677725166
"MedHy 3"	1.60357198119164	0.0121640493394807	0.00921570861246437	0.0133231174200773	0.00656043464550748	0.0135747865075246	0.00987615815829486	0.0114156634313986	0.0140428240410984	0.024120191577822	0.034981862641871	1.10074283182621	0.0359495462849736	0.0158751233015209	0.00958595441188663	0.0132116824621335	0.017321422835812	0.0266749942675233	0.0252515458501875	0.0191350993700325	0.00590313000138849	0.0233968549408019	0.0803178692236543	0.00789227802306414	0.0150036791339517	0.0149163066176698	0.0118851927109063	0.016589619545266	0.0190434635151178	0.00935807316564024	0.00125230501871556	0.00457441980252042	0.0202360206283629	0.00462309200083837	0.0273672439157963	0.0101702705724165	0.0159082715399563	0.00677460802253336	0.00956936134025455	0.00492250898387283	0.0124319478869438	0.0107367069227621	0.0860344497486949	0.0332295905798674	0.351273283362389	0.00978718032129109	0.00453841508133337	0.0197363368235529	0.00897005724254996	0.210957131907344	0.0894032755866647	0.0068927664658986
