Tadross_cluster	Herb_cluster	ncells_C_total	ncells_C_siletti	Percentage_H_Cluster
C4-116	349	265	54	5.56
C4-117	268	223	43	23.26
C4-118	268	232	49	28.57
C4-118	397	232	49	26.53
C4-119	440	147	36	88.89
C4-12	19	260	37	100
C4-120	343	372	118	82.2
C4-121	343	202	47	72.34
C4-122	402	287	81	66.67
C4-123	175	271	102	31.37
C4-124	229	295	100	56
C4-125	67	228	77	36.36
C4-126	348	242	75	33.33
C4-126	57	242	75	33.33
C4-127	9	271	122	22.95
C4-127	475	271	122	14.75
C4-128	9	443	241	64.32
C4-128	529	443	241	12.86
C4-129	229	103	46	52.17
C4-13	19	2409	423	99.53
C4-130	57	306	183	60.11
C4-131	67	184	63	42.86
C4-132	348	186	109	33.03
C4-133	38	279	154	71.43
C4-134	67	294	149	69.8
C4-135	248	418	184	52.17
C4-135	45	418	184	29.89
C4-135	466	418	184	9.78
C4-136	45	321	283	54.77
C4-137	24	253	119	19.33
C4-138	180	429	211	67.77
C4-139	135	401	266	64.29
C4-14	19	397	125	100
C4-140	403	131	65	35.38
C4-141	490	388	172	36.05
C4-141	38	388	172	31.4
C4-142	85	200	98	29.59
C4-143	85	292	206	73.3
C4-144	85	148	47	34.04
C4-144	341	148	47	19.15
C4-145	485	168	146	21.23
C4-146	91	463	405	78.02
C4-147	209	217	177	71.19
C4-148	79	236	204	65.69
C4-149	206	296	253	32.02
C4-149	231	296	253	27.67
C4-149	408	296	253	10.28
C4-15	49	1421	88	36.36
C4-15	50	1421	88	30.68
C4-150	68	1254	1036	35.23
C4-150	97	1254	1036	26.35
C4-150	143	1254	1036	17.86
C4-151	132	316	194	18.04
C4-152	14	361	217	81.11
C4-153	283	272	148	33.11
C4-154	283	98	44	47.73
C4-155	36	80	77	62.34
C4-155	335	80	77	11.69
C4-156	122	504	441	42.63
C4-156	132	504	441	36.28
C4-157	206	139	132	26.52
C4-158	190	536	481	37.01
C4-158	204	536	481	20.17
C4-158	423	536	481	16.84
C4-159	307	135	117	64.1
C4-16	306	390	82	34.15
C4-16	50	390	82	26.83
C4-160	289	276	257	45.91
C4-160	319	276	257	34.63
C4-161	417	187	127	56.69
C4-161	374	187	127	13.39
C4-162	139	491	387	48.84
C4-163	42	170	104	53.85
C4-163	511	170	104	12.5
C4-164	42	454	261	57.85
C4-165	172	216	195	47.69
C4-165	369	216	195	26.67
C4-166	39	432	403	54.84
C4-166	366	432	403	30.27
C4-167	224	302	182	75.82
C4-168	22	751	161	85.09
C4-169	22	440	125	51.2
C4-169	325	440	125	38.4
C4-17	50	314	58	94.83
C4-170	197	536	68	92.65
C4-171	197	239	72	73.61
C4-172	197	185	60	88.33
C4-172	269	185	60	6.67
C4-173	24	269	72	65.28
C4-174	24	164	40	60
C4-175	24	447	110	41.82
C4-175	0	447	110	26.36
C4-177	510	154	60	55
C4-178	96	296	136	79.41
C4-179	96	263	103	57.28
C4-18	50	432	63	41.27
C4-18	49	432	63	39.68
C4-180	24	266	100	93
C4-181	24	144	45	51.11
C4-182	24	243	50	62
C4-183	471	218	55	41.82
C4-183	220	218	55	29.09
C4-184	220	227	41	90.24
C4-185	24	254	15	66.67
C4-186	471	190	42	50
C4-186	24	190	42	30.95
C4-187	220	310	98	76.53
C4-189	24	150	28	64.29
C4-19	49	323	92	69.57
C4-190	24	235	14	100
C4-191	24	438	71	80.28
C4-192	24	444	23	73.91
C4-192	86	444	23	13.04
C4-193	24	126	12	100
C4-194	24	313	36	50
C4-194	496	313	36	8.33
C4-196	174	269	34	47.06
C4-197	431	107	40	40
C4-197	78	107	40	27.5
C4-198	174	223	86	79.07
C4-199	174	132	47	29.79
C4-20	19	216	61	65.57
C4-20	49	216	61	26.23
C4-200	405	351	167	53.89
C4-201	17	161	57	52.63
C4-202	17	139	64	37.5
C4-202	220	139	64	32.81
C4-203	17	303	171	87.13
C4-204	197	147	51	54.9
C4-204	17	147	51	39.22
C4-205	17	123	47	57.45
C4-205	434	123	47	12.77
C4-206	532	77	45	80
C4-207	268	205	76	47.37
C4-207	445	205	76	32.89
C4-208	445	250	101	34.65
C4-209	78	333	168	39.88
C4-209	394	333	168	32.74
C4-21	50	231	68	73.53
C4-210	78	380	163	66.26
C4-211	72	131	46	45.65
C4-211	266	131	46	30.43
C4-212	107	198	153	24.84
C4-212	426	198	153	9.8
C4-213	154	300	233	31.76
C4-214	154	148	32	34.38
C4-214	415	148	32	6.25
C4-215	16	280	237	81.01
C4-216	107	151	136	79.41
C4-217	292	244	137	48.18
C4-218	33	261	121	77.69
C4-219	33	165	80	93.75
C4-220	33	371	214	88.79
C4-221	33	333	122	85.25
C4-222	261	234	112	45.54
C4-223	74	167	118	66.1
C4-224	74	247	127	65.35
C4-225	189	271	207	51.69
C4-226	257	95	70	25.71
C4-227	74	179	149	77.18
C4-228	74	237	121	64.46
C4-229	322	221	172	26.16
C4-229	451	221	172	25
C4-23	19	268	67	79.1
C4-230	56	320	125	60.8
C4-230	154	320	125	28.8
C4-231	107	69	34	32.35
C4-232	24	127	81	34.57
C4-232	74	127	81	25.93
C4-233	59	177	160	84.38
C4-234	7	774	728	25.96
C4-234	251	774	728	16.21
C4-234	118	774	728	14.42
C4-234	494	774	728	7.97
C4-235	1	793	716	26.12
C4-235	340	793	716	7.82
C4-236	1	274	215	25.12
C4-236	173	274	215	19.53
C4-236	470	274	215	19.07
C4-237	1	152	123	71.54
C4-238	222	277	223	56.05
C4-239	170	320	273	43.59
C4-239	396	320	273	30.4
C4-240	8	396	388	48.45
C4-240	391	396	388	24.48
C4-241	134	247	247	42.91
C4-241	18	247	247	26.32
C4-241	8	247	247	25.91
C4-242	24	134	82	39.02
C4-243	3	292	197	62.94
C4-244	3	446	381	59.58
C4-244	338	446	381	4.46
C4-245	3	470	438	48.63
C4-245	136	470	438	34.93
C4-245	513	470	438	8.45
C4-246	125	273	268	63.81
C4-246	444	273	268	12.69
C4-247	37	376	329	65.35
C4-247	329	376	329	13.68
C4-248	331	840	773	35.06
C4-248	250	840	773	19.79
C4-248	321	840	773	14.62
C4-248	355	840	773	11.51
C4-249	287	147	104	92.31
